2026-04-15 14:03:41,389 | api_understanding_agent | INFO | [APIUnderstandingAgent] Analyzing API spec …
2026-04-15 14:09:14,972 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (182.6ms)
2026-04-15 14:09:15,114 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (201.6ms)
2026-04-15 14:09:15,158 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (227.9ms)
2026-04-15 14:09:15,195 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 415 (228.9ms)
2026-04-15 14:09:15,197 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (213.1ms)
2026-04-15 14:09:15,199 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (231.2ms)
2026-04-15 14:09:15,308 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (193.2ms)
2026-04-15 14:09:15,347 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (187.4ms)
2026-04-15 14:09:15,381 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (183.0ms)
2026-04-15 14:09:15,383 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (182.5ms)
2026-04-15 14:09:15,392 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (193.1ms)
2026-04-15 14:09:15,505 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (192.4ms)
2026-04-15 14:09:15,537 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (186.9ms)
2026-04-15 14:09:15,560 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (178.1ms)
2026-04-15 14:09:15,578 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (193.4ms)
2026-04-15 14:09:15,579 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (186.4ms)
2026-04-15 14:09:15,687 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (180.7ms)
2026-04-15 14:09:15,732 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (193.8ms)
2026-04-15 14:09:15,745 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (181.5ms)
2026-04-15 14:09:15,764 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (183.1ms)
2026-04-15 14:09:15,766 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (184.9ms)
2026-04-15 14:09:15,891 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (201.9ms)
2026-04-15 14:09:15,929 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (181.8ms)
2026-04-15 14:09:15,931 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (197.5ms)
2026-04-15 14:09:15,949 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (184.1ms)
2026-04-15 14:09:15,956 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (188.9ms)
2026-04-15 14:09:16,080 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (187.6ms)
2026-04-15 14:09:16,123 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (189.6ms)
2026-04-15 14:09:16,125 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (193.5ms)
2026-04-15 14:09:16,127 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (176.3ms)
2026-04-15 14:09:16,267 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (184.5ms)
2026-04-15 14:09:16,310 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (352.4ms)
2026-04-15 14:09:16,312 | execution_agent | INFO | [ExecutionAgent] Completed 56/56 without network error
2026-04-15 14:09:16,314 | validation_agent | INFO | [ValidationAgent] Validating 56 results …
2026-04-15 14:09:16,321 | validation_agent | INFO | [ValidationAgent] 20 failures detected
2026-04-15 14:09:16,328 | security_agent | INFO | [SecurityAgent] Scanning 56 results …
2026-04-15 14:09:19,492 | security_agent | WARNING | LLM security scan failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:09:19,495 | security_agent | INFO | [SecurityAgent] 12 findings (0 critical, 8 high)
2026-04-15 14:09:19,504 | history | INFO | [History] Saved run 6e848c20-5f0
2026-04-15 14:09:19,525 | reporting_agent | INFO | [ReportingAgent] HTML report → reports/report_20260415_140919.html
2026-04-15 14:09:19,527 | reporting_agent | INFO | [ReportingAgent] JSON report → reports/report_20260415_140919.json
2026-04-15 14:20:24,352 | api_understanding_agent | INFO | [APIUnderstandingAgent] Analyzing API spec …
2026-04-15 14:20:24,360 | parser | INFO | Parsing spec: Sample Pet Store API
2026-04-15 14:20:24,360 | parser | INFO | Discovered 8 endpoints
2026-04-15 14:20:27,498 | api_understanding_agent | WARNING | LLM enrichment failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:20:27,500 | api_understanding_agent | INFO | [APIUnderstandingAgent] 8 endpoints understood (provider: openai)
2026-04-15 14:20:27,510 | test_generation_agent | INFO | [TestGenerationAgent] Generating tests for 8 endpoints …
2026-04-15 14:20:30,663 | test_generation_agent | WARNING | LLM creative test generation failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:20:30,667 | test_generation_agent | INFO | [TestGenerationAgent] Generated 56 test cases (provider: openai)
2026-04-15 14:20:30,670 | execution_agent | INFO | [ExecutionAgent] Running 56 test cases ...
2026-04-15 14:20:30,989 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (304.8ms)
2026-04-15 14:20:31,019 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (332.5ms)
2026-04-15 14:20:31,021 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (347.8ms)
2026-04-15 14:20:31,026 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (342.5ms)
2026-04-15 14:20:31,027 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (342.1ms)
2026-04-15 14:20:31,182 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (189.4ms)
2026-04-15 14:20:31,212 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (187.7ms)
2026-04-15 14:20:31,221 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (191.9ms)
2026-04-15 14:20:31,224 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (198.2ms)
2026-04-15 14:20:31,231 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (200.5ms)
2026-04-15 14:20:31,362 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (177.1ms)
2026-04-15 14:20:31,404 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (190.5ms)
2026-04-15 14:20:31,419 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (193.3ms)
2026-04-15 14:20:31,423 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (190.4ms)
2026-04-15 14:20:31,427 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (201.7ms)
2026-04-15 14:20:31,547 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (183.0ms)
2026-04-15 14:20:31,595 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (188.7ms)
2026-04-15 14:20:31,599 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (176.9ms)
2026-04-15 14:20:31,603 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (178.7ms)
2026-04-15 14:20:31,616 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (187.4ms)
2026-04-15 14:20:31,749 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (200.9ms)
2026-04-15 14:20:31,786 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (181.1ms)
2026-04-15 14:20:31,800 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (202.9ms)
2026-04-15 14:20:31,802 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (200.9ms)
2026-04-15 14:20:31,804 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (186.8ms)
2026-04-15 14:20:31,934 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (182.7ms)
2026-04-15 14:20:31,970 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (181.7ms)
2026-04-15 14:20:31,992 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (186.0ms)
2026-04-15 14:20:31,999 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (193.2ms)
2026-04-15 14:20:32,002 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 415 (198.5ms)
2026-04-15 14:20:32,130 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (193.7ms)
2026-04-15 14:20:32,156 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (183.4ms)
2026-04-15 14:20:32,179 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (184.5ms)
2026-04-15 14:20:32,186 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (181.4ms)
2026-04-15 14:20:32,193 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (192.1ms)
2026-04-15 14:20:32,319 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (187.6ms)
2026-04-15 14:20:32,349 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (191.3ms)
2026-04-15 14:20:32,368 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (186.5ms)
2026-04-15 14:20:32,373 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (185.7ms)
2026-04-15 14:20:32,384 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (190.3ms)
2026-04-15 14:20:32,512 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (191.0ms)
2026-04-15 14:20:32,541 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (190.3ms)
2026-04-15 14:20:32,561 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (186.5ms)
2026-04-15 14:20:32,570 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (183.6ms)
2026-04-15 14:20:32,571 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (199.6ms)
2026-04-15 14:20:32,719 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (204.7ms)
2026-04-15 14:20:32,733 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (189.9ms)
2026-04-15 14:20:32,756 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (191.9ms)
2026-04-15 14:20:32,759 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (185.3ms)
2026-04-15 14:20:32,770 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (197.1ms)
2026-04-15 14:20:32,918 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (182.8ms)
2026-04-15 14:20:32,921 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/login → 200 (198.7ms)
2026-04-15 14:20:32,940 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (181.9ms)
2026-04-15 14:20:32,952 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (191.7ms)
2026-04-15 14:20:32,960 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (187.8ms)
2026-04-15 14:20:33,114 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/user/{username} → 500 (191.9ms)
2026-04-15 14:20:33,120 | execution_agent | INFO | [ExecutionAgent] Completed 56/56 without network error
2026-04-15 14:20:33,122 | validation_agent | INFO | [ValidationAgent] Validating 56 results …
2026-04-15 14:20:33,133 | validation_agent | INFO | [ValidationAgent] 20 failures detected
2026-04-15 14:20:33,142 | security_agent | INFO | [SecurityAgent] Scanning 56 results …
2026-04-15 14:20:36,083 | security_agent | WARNING | LLM security scan failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:20:36,087 | security_agent | INFO | [SecurityAgent] 12 findings (0 critical, 8 high)
2026-04-15 14:20:36,096 | history | INFO | [History] Saved run 12510c69-e5e
2026-04-15 14:20:36,116 | reporting_agent | INFO | [ReportingAgent] HTML report → reports/report_20260415_142036.html
2026-04-15 14:20:36,118 | reporting_agent | INFO | [ReportingAgent] JSON report → reports/report_20260415_142036.json
2026-04-15 14:33:11,163 | api_understanding_agent | INFO | [APIUnderstandingAgent] Extracting spec from raw description …
2026-04-15 14:44:48,915 | api_understanding_agent | INFO | [APIUnderstandingAgent] Analyzing API spec …
2026-04-15 14:44:48,924 | parser | INFO | Parsing spec: Sample Pet Store API
2026-04-15 14:44:48,925 | parser | INFO | Discovered 8 endpoints
2026-04-15 14:44:52,369 | api_understanding_agent | WARNING | LLM enrichment failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:44:52,372 | api_understanding_agent | INFO | [APIUnderstandingAgent] 8 endpoints understood (provider: openai)
2026-04-15 14:44:52,383 | test_generation_agent | INFO | [TestGenerationAgent] Generating tests for 8 endpoints …
2026-04-15 14:44:55,985 | test_generation_agent | WARNING | LLM creative test generation failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:44:55,990 | test_generation_agent | INFO | [TestGenerationAgent] Generated 56 test cases (provider: openai)
2026-04-15 14:44:55,994 | execution_agent | INFO | [ExecutionAgent] Running 56 test cases ...
2026-04-15 14:44:56,324 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (312.9ms)
2026-04-15 14:44:56,349 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (338.9ms)
2026-04-15 14:44:56,353 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (354.4ms)
2026-04-15 14:44:56,355 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (346.1ms)
2026-04-15 14:44:56,357 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (348.0ms)
2026-04-15 14:44:56,522 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (194.4ms)
2026-04-15 14:44:56,542 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (189.5ms)
2026-04-15 14:44:56,544 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (184.8ms)
2026-04-15 14:44:56,551 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (194.9ms)
2026-04-15 14:44:56,554 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (197.4ms)
2026-04-15 14:44:56,721 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (196.1ms)
2026-04-15 14:44:56,727 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (181.9ms)
2026-04-15 14:44:56,739 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (193.4ms)
2026-04-15 14:44:56,741 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (188.4ms)
2026-04-15 14:44:56,744 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (188.1ms)
2026-04-15 14:44:56,909 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (180.5ms)
2026-04-15 14:44:56,913 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (187.3ms)
2026-04-15 14:44:56,926 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (181.9ms)
2026-04-15 14:44:56,928 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (185.8ms)
2026-04-15 14:44:56,935 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (192.2ms)
2026-04-15 14:44:57,098 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (187.5ms)
2026-04-15 14:44:57,106 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (191.0ms)
2026-04-15 14:44:57,113 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (183.3ms)
2026-04-15 14:44:57,115 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (185.8ms)
2026-04-15 14:44:57,123 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (187.2ms)
2026-04-15 14:44:57,282 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (182.6ms)
2026-04-15 14:44:57,292 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 415 (178.4ms)
2026-04-15 14:44:57,304 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (179.6ms)
2026-04-15 14:44:57,305 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (189.2ms)
2026-04-15 14:44:57,307 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (199.3ms)
2026-04-15 14:44:57,459 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (175.6ms)
2026-04-15 14:44:57,478 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (183.6ms)
2026-04-15 14:44:57,484 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (177.2ms)
2026-04-15 14:44:57,491 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (183.2ms)
2026-04-15 14:44:57,494 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (187.4ms)
2026-04-15 14:44:57,637 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (176.4ms)
2026-04-15 14:44:57,667 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 400 (181.7ms)
2026-04-15 14:44:57,670 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (189.7ms)
2026-04-15 14:44:57,671 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (176.0ms)
2026-04-15 14:44:57,679 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (186.6ms)
2026-04-15 14:44:57,825 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (186.4ms)
2026-04-15 14:44:57,851 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (182.3ms)
2026-04-15 14:44:57,857 | executor | DEBUG | POST https://petstore3.swagger.io/api/v3/store/order → 200 (186.5ms)
